Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
Afghanistan,Asia,-1.56373512744904,-1.2221063375473,-2.74916744232178,-1.32791936397552,-1.61642956733704,-1.08621954917908
Albania,Europe,-0.397567093372345,-0.000573236728087068,0.257720142602921,0.188962236046791,-0.347467511892319,0.159190967679024
Algeria,Africa,-0.691359281539917,-0.544694542884827,-1.13928198814392,-1.17184257507324,-0.849319279193878,-0.877241313457489
American Samoa,Oceania,1.23034083843231,0.531471788883209,1.19253420829773,0.13664747774601,1.32824563980103,
Andorra,Europe,1.23034083843231,1.86020076274872,1.39604675769806,0.871408939361572,1.5640105009079,1.19754028320313
Angola,Africa,-1.41182863712311,-1.03937697410583,-0.386640250682831,-1.00138103961945,-1.08052217960358,-1.16735506057739
Anguilla,North America,1.23034083843231,1.32870924472809,1.30666780471802,0.871408939361572,-0.0863430127501488,
Antigua and Barbuda,North America,0.692292392253876,0.265726029872894,1.01384449005127,0.341370731592178,0.509351372718811,0.64601719379425
Argentina,South America,-0.313135892152786,0.176795974373817,0.221892058849335,-0.469679564237595,-0.345988482236862,0.54084712266922
Armenia,Europe,-0.568729758262634,-0.149187073111534,-0.6008660197258,0.249979600310326,-0.105174474418163,-0.617283284664154
Aruba,North America,1.29223120212555,0.89626556634903,1.27631652355194,1.34767949581146,1.28989219665527,1.26906669139862
Australia,Oceania,1.77084732055664,1.58479738235474,0.963897407054901,1.89710128307343,1.7520192861557,1.30053472518921
Austria,Europe,1.54405736923218,1.51350784301758,0.817217648029327,1.44045090675354,1.77786326408386,1.29030895233154
Azerbaijan,Europe,-0.86993020772934,-0.156112611293793,-0.870391666889191,-0.282158344984055,-0.565593540668488,-1.60271906852722
"Bahamas, The",North America,1.13452935218811,0.717308938503265,0.90334540605545,0.257599502801895,0.229195848107338,0.940302491188049
Bahrain,Asia,-0.0582483634352684,0.324103683233261,-0.861849665641785,0.608254194259644,0.458846271038055,-1.44648659229279
Bangladesh,Asia,-0.801719427108765,-0.689339935779572,-1.24099135398865,-0.796762228012085,-0.590466201305389,-0.558102309703827
Barbados,North America,1.24349868297577,1.08246421813965,0.962682723999023,0.481005102396011,0.784002125263214,1.10433876514435
Belarus,Europe,-0.285219758749008,-0.512486517429352,0.119983710348606,-0.94146341085434,-0.78175687789917,-1.3913551568985
Belgium,Europe,1.6033593416214,1.32638466358185,0.482584446668625,1.34068953990936,1.40236556529999,1.35331380367279
Belize,North America,-0.244984209537506,-0.676089704036713,0.0573244877159595,-0.512428820133209,-0.861763060092926,0.669242858886719
Benin,Africa,-0.482515245676041,-0.566010177135468,0.0541398338973522,-0.527902185916901,-0.654478788375854,0.496533066034317
Bermuda,North America,1.23034083843231,1.32870924472809,0.998822271823883,0.871408939361572,0.856716096401215,
Bhutan,Asia,1.13675498962402,0.485713511705399,0.990327060222626,-0.665243923664093,0.474711835384369,-0.0496735870838165
Bolivia,South America,-0.710404694080353,-0.56963711977005,-0.206531405448914,-0.924245178699493,-1.2038825750351,0.0110938940197229
Bosnia and Herzegovina,Europe,-0.470387369394302,-0.432830661535263,-0.377774238586426,-0.166711077094078,-0.29473015666008,-0.164342641830444
Botswana,Africa,0.93454647064209,0.506949603557587,1.09239935874939,0.528430640697479,0.521856963634491,0.424854427576065
Brazil,South America,-0.443444788455963,-0.175861731171608,-0.448016375303268,-0.207383990287781,-0.0808707103133202,0.469036519527435
Brunei Darussalam,Asia,0.656690061092377,1.07159185409546,1.26002621650696,0.593465089797974,0.624220430850983,-0.951862573623657
Bulgaria,Europe,-0.161271184682846,0.289762109518051,0.0260055474936962,0.658501982688904,-0.0376457124948502,0.436057955026627
Burkina Faso,Africa,-0.125276371836662,-0.545139253139496,-0.949450016021729,-0.397402465343475,-0.447282582521439,0.0421866476535797
Burundi,Africa,-1.18013060092926,-1.39756333827972,-2.08049988746643,-0.825263857841492,-1.38879764080048,-1.50966048240662
Cabo Verde,Africa,0.875388503074646,0.0978841856122017,0.882254302501678,-0.296029031276703,0.345834255218506,1.01562118530273
Cambodia,Asia,-1.29712700843811,-0.694623529911041,0.17792771756649,-0.46537920832634,-1.09599196910858,-1.1429728269577
Cameroon,Africa,-1.13568878173828,-0.759951293468475,-0.949917554855347,-0.789914131164551,-1.01937627792358,-1.02638161182404
Canada,North America,1.98259556293488,1.79841291904449,1.2428994178772,1.73895764350891,1.83543384075165,1.37780499458313
Cayman Islands,North America,0.533327400684357,1.17795729637146,1.16670358181,0.787406086921692,0.781872987747192,0.474082291126251
Central African Republic,Africa,-1.27527713775635,-1.76806378364563,-1.73766076564789,-1.42716693878174,-1.84308254718781,-1.12888085842133
Chad,Africa,-1.45426738262177,-1.49426019191742,-1.20812702178955,-1.17993187904358,-1.42722141742706,-1.34316444396973
Chile,South America,1.11277258396149,1.01817071437836,0.51336795091629,1.37303042411804,1.12539005279541,0.997013747692108
China,Asia,-0.252539366483688,0.358472794294357,-0.521165668964386,-0.264594554901123,-0.223669767379761,-1.61608517169952
Colombia,South America,-0.337096720933914,0.0230419728904963,-0.960490107536316,0.401921898126602,-0.316749751567841,0.095835842192173
Comoros,Africa,-0.642801702022552,-1.54175174236298,-0.0154207358136773,-1.04955267906189,-1.12799179553986,-0.183175697922707
"Congo, Dem. Rep.",Africa,-1.33309137821198,-1.50525689125061,-2.19761514663696,-1.32396197319031,-1.61356055736542,-1.3902975320816
