Date,F1 : Thermique non renouvelable,F2 : Bioénergies,F3 : Hydraulique,F4 : Eolien,F5 : Solaire,F6 : Autres
20180302,37379432656.0,14680854600.0,17736259482.0,122654478703.0,21156500263.0,672925776.0
20180303,37151461218.0,14632551433.0,18054192459.0,76953329031.0,23958773443.0,704712096.0
20180304,37098053703.0,14626858935.0,17954083231.0,88743925699.0,13160859063.0,723882912.0
20180305,36693317381.0,14293894266.0,18533847463.0,67678192370.0,15058781208.0,697855248.0
20180306,36449470980.0,14547938603.0,18228599109.0,43723105864.0,19640491233.0,686950944.0
20180307,37121853151.0,14550108934.0,18304764391.0,108108703868.0,22268425749.0,731020608.0
20180308,37020599652.0,14973994269.0,18267157317.0,121716701701.0,26146346901.0,714247104.0
20180309,36550223908.0,15267038266.0,18384000925.0,80237763531.0,13983226890.0,669334752.0
20180310,36232824527.0,15616432265.0,19792199449.0,104409088865.0,13572484950.0,713047104.0
20180311,35752999806.0,15584972939.0,20097663104.0,91159473200.0,19850260889.0,701927280.0
20180312,36326396222.0,14823449369.0,20352263984.0,188312564865.0,16795041253.0,702259248.0
20180313,36867524328.0,14941683534.0,19729392591.0,91864817863.0,23095374512.0,709125744.0
20180314,36838479394.0,14822722036.0,19733213570.0,111511358699.0,25967334905.0,646970448.0
20180315,36738241057.0,14832624368.0,19913813802.0,97212376366.0,18793939229.0,712222944.0
20180316,36574723852.0,15107946092.0,19801239741.0,35274002366.0,21882496219.0,726179760.0
20180317,36767911176.0,15601551259.0,19689282355.0,62033379529.0,19156120099.0,731002272.0
20180318,36935381387.0,15136581592.0,19375219067.0,71480169365.0,18012150518.0,723525744.0
20180319,36551008609.0,14346631092.0,19411540591.0,56501027864.0,22465268056.0,707221920.0
20180320,36761342228.0,13695082095.0,18956563514.0,135251558533.0,24650069678.0,709211712.0
20180321,36636835327.0,13745035092.0,18182947299.0,69660271391.0,31546825538.0,701888688.0
20180322,36925742132.0,14764969595.0,18085827353.0,74441123222.0,29661525722.0,695162544.0
20180323,36338592437.0,15429342427.0,17844431280.0,66054547056.0,22300340937.0,545750880.0
20180324,36276662506.0,15845436761.0,17785387277.0,35244919892.0,17951348743.0,492223056.0
20180326,35944449930.0,15077791092.0,17783318370.0,35728147727.0,23065075439.0,512609712.0
20180327,36176366196.0,15065890428.0,18208576334.0,109195706223.0,14052305554.0,510979056.0
20180328,36153775011.0,14917249591.0,19452605064.0,129641397391.0,18908536599.0,575556864.0
20180329,36198914094.0,15193739761.0,20405020454.0,69978697986.0,24089882639.0,706338864.0
20180330,36108624049.0,15226678093.0,19808876460.0,82516025988.0,21405442992.0,724856880.0
20180331,34159533038.0,15527668927.0,20004942199.0,63297856489.0,23554990618.0,722310384.0
20180401,5334611244.0,14793638792.0,19759855451.0,66951102625.0,31330029004.0,178911264.0
20180402,424926099.0,14126522628.0,19876760041.0,102550261127.0,15824869787.0,428928.0
20180403,508437580.0,13543540129.0,20008513521.0,138803199125.0,18895153329.0,4784448.0
20180404,628269979.0,13721242457.0,20551400127.0,138329477791.0,22463651674.0,4098912.0
20180405,839192633.0,13591974294.0,21027872624.0,85759030047.0,33693209240.0,15271440.0
20180406,873472841.0,14083823294.0,21302432644.0,122628286381.0,36803525724.0,13115952.0
20180407,637679536.0,14180750130.0,21634478784.0,86527287213.0,20372309836.0,428928.0
20180408,427361683.0,13435110296.0,21354731398.0,36118519548.0,14300521338.0,428928.0
20180409,391422497.0,13067801959.0,21638036810.0,33941604383.0,17192169665.0,44282112.0
20180410,478611122.0,12888316248.0,21718230775.0,69593352047.0,22237006523.0,33229584.0
20180411,417932638.0,13245076078.0,21063138198.0,50896762715.0,16660780602.0,5859600.0
20180412,641484455.0,13271559248.0,19890837567.0,33012555379.0,19393928281.0,1148784.0
20180413,537069252.0,13992542747.0,20272960725.0,27208099380.0,24290270238.0,429600.0
20180414,535790826.0,14137570082.0,20244997054.0,22858771212.0,19756840157.0,428928.0
20180415,386688892.0,14111738248.0,20201846079.0,40970900546.0,28183310907.0,428928.0
20180416,266008380.0,13613629081.0,20781993841.0,30281447714.0,27516132892.0,431952.0
20180417,325884783.0,13581341231.0,20952601373.0,36053511214.0,41459235256.0,7562928.0
20180418,291183743.0,13531584066.0,21200804316.0,50578653047.0,41003224297.0,29861952.0
20180419,472486176.0,13852108231.0,21068660528.0,38547633880.0,40950958843.0,30909600.0
20180420,458867880.0,14444490899.0,21335305348.0,14247029544.0,41099912469.0,46404576.0
20180421,462828343.0,15152090568.0,21055594184.0,23682220216.0,41204318691.0,16499088.0
20180422,260276347.0,15085273399.0,20625514362.0,49616705048.0,34513018816.0,428928.0
20180423,172637437.0,14477728062.0,20672953566.0,37508333376.0,25173894349.0,5287920.0
20180424,283734574.0,14715016531.0,20690735789.0,31292892879.0,38965927849.0,6067776.0
20180425,291782471.0,14929455365.0,20291685724.0,95793010548.0,27910034063.0,8809584.0
20180426,473151038.0,15025300867.0,20237038910.0,71234071047.0,37707452803.0,2661264.0
20180427,481612768.0,15407307866.0,20448523541.0,88739174047.0,34274886514.0,477744.0
20180428,513909208.0,15813662695.0,19986706034.0,53932591711.0,24228855451.0,428928.0
20180429,348696510.0,15906580535.0,19487836031.0,67637886046.0,15523369493.0,428928.0
20180430,456829943.0,15730403366.0,20634528630.0,147456431213.0,23909499475.0,168853776.0
20180501,231386821.0,15908464199.0,20726218187.0,42924355048.0,27526030396.0,226794576.0
20180502,327773231.0,15488898203.0,20204809927.0,74165233985.0,32142355950.0,3627216.0
20180503,290401988.0,15566013902.0,19975840414.0,58684302318.0,25681047828.0,6254400.0
20180504,350220258.0,15884771900.0,19654077930.0,87062458151.0,33511021391.0,3986400.0
20180505,350940423.0,16079708363.0,19789355911.0,75834555322.0,35170387375.0,118752.0
20180506,298401257.0,16206006199.0,19268814492.0,41341494984.0,38373173648.0,118752.0
20180507,298495222.0,15518102699.0,19465806350.0,29990351988.0,37586699034.0,19321728.0
20180508,275040723.0,15670631866.0,18378260034.0,32522759819.0,30974101907.0,23454384.0
20180509,305139886.0,15560770866.0,19615695595.0,46921796485.0,28802588255.0,755904.0
20180510,344423885.0,16281426531.0,19795269195.0,60627871153.0,29573877058.0,118752.0
20180511,297682887.0,15621541531.0,19878782348.0,31036448154.0,41120245843.0,118752.0
20180512,248492559.0,15834344533.0,19798509182.0,36707150818.0,19561856973.0,118752.0
20180513,297389054.0,15530338032.0,20301514862.0,58966398320.0,21406235882.0,1388736.0
20180514,385531803.0,14570308699.0,21300849145.0,105282980156.0,18244435944.0,16019760.0
20180515,328838133.0,14024839699.0,21540557130.0,63034252489.0,27697281575.0,25830240.0
20180516,393872471.0,14571773530.0,21528491744.0,74707030984.0,31679557811.0,4658304.0
20180517,348979467.0,15097179202.0,21453277908.0,75206677655.0,30677266495.0,1896672.0
20180518,344704972.0,15387488032.0,21576778216.0,43453911487.0,39732966061.0,158313312.0
20180519,326098803.0,15789237368.0,21661503244.0,41709571652.0,39892542528.0,1303296.0
20180520,320069966.0,15285872032.0,21186501070.0,38823476984.0,40803450607.0,167057808.0
20180521,301070763.0,14611632531.0,20909612183.0,24581560656.0,35139248040.0,16463136.0
20180522,271827594.0,14273150535.0,20925095644.0,18532776212.0,31829873040.0,446261664.0
20180523,192949930.0,14344448369.0,21151501180.0,24338256718.0,35387596346.0,15566832.0
20180524,198614260.0,14994590200.0,21272103637.0,10265061877.0,35084560093.0,2736480.0
20180525,139689427.0,14873574198.0,21046757499.0,20075928546.0,30516209641.0,4227312.0
20180526,193233423.0,14602822531.0,20294354627.0,60585175211.0,30245287166.0,169324992.0
